no ogrn;info@torins.ru;+7 (800) 250-47-60;"""Веб-регистратура.ру""
                                            <span>ООО</span>";ул. Телевизорная, д.4Г, офис 308, Красноярск, 660036;http://web-registratura.ru/;https://www.orgpage.ru/krasnoyarsk/veb-832461.html
no ogrn;no emails;+7 (391) 243-37-14;Городская поликлиника №2;Академика Киренского, 118, Красноярск, 660028;no saits;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-2-2028975.html
no ogrn;no emails;+7 (391) 262-01-35;Городская поликлиника №12, Филиал №2;Газеты Красноярский Рабочий проспект, 80а, Красноярск, 660068;no saits;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-12-filial-2028982.html
no ogrn;no emails;+7 (39144) 33503;Поликлиника, Дивногорская центральная городская больница;Дивногорск, Бочкина, 45/7, Красноярск, 663090;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-divnogorskaya-1994561.html
no ogrn;no emails;+7 (391) 234-03-01;Поликлиника №2, Красноярская межрайонная поликлиника №5;Ады Лебедевой, 66, Красноярск, 660060;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-2-krasnoyarskaya-2028952.html
no ogrn;no emails;+7 (391) 264-94-96;Поликлиника №3, Красноярская межрайонная больница №5;Глинки, 23, Красноярск, 660031;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-3-krasnoyarskaya-1994654.html
no ogrn;no emails;no phone;Поликлиника №3, Клиническая больница №51, г. Железногорск;Железногорск, Белорусская, 32, Красноярск, 662973;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-3-klinicheskaya-1994703.html
no ogrn;no emails;+7 (39175) 21321;Поликлиника, Березовская районная больница;Берёзовка, Парковая, 14, Красноярск, 662520;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-berezovskaya-1994489.html
no ogrn;no emails;+7 (391) 264-36-49;Поликлиника №4, Красноярская межрайонная больница №5;26 Бакинских Комиссаров, 46, Красноярск, 660004;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-4-krasnoyarskaya-1994514.html
no ogrn;no emails;+7 (391) 236-34-26;Поликлиника №5, Красноярская межрайонная больница №3;Кольцевая, 26, Красноярск, 660093;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-5-krasnoyarskaya-1994349.html
no ogrn;no emails;+7 (391) 261-87-08;Поликлиника №1, Красноярская межрайонная больница №3;Ключевская, 87, Красноярск, 660006;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-1-krasnoyarskaya-1994354.html
no ogrn;no emails;+7 (391) 264-26-90;Поликлиника №1, Красноярская межрайонная больница №5;Тамбовская, 3, Красноярск, 660013;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-1-krasnoyarskaya-1994455.html
no ogrn;no emails;+7 (391) 220-15-89;Поликлиника, Красноярская краевая клиническая больница;Партизана Железняка, 3Б, Красноярск, 660022;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-krasnoyarskaya-1994369.html
no ogrn;no emails;+7 (391) 236-21-24;Поликлиника №6, Красноярская межрайонная больница №3;Семафорная, 255, Красноярск, 660093;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-6-krasnoyarskaya-1994382.html
no ogrn;no emails;+7 (391) 205-10-55;Поликлиника №1, Дорожная клиническая больница на ст. Красноярск;Ломоносова, 26, Красноярск, 660058;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-1-dorozhnaya-1994399.html
no ogrn;no emails;+7 (391) 261-18-10;Поликлиника №2, Красноярская межрайонная больница №3;Медицинский пер, 22, Красноярск, 660042;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-2-krasnoyarskaya-1994423.html
no ogrn;no emails;+7 (3919) 722567;Детская поликлиника, Клиническая больница №51, г. Железногорск;Железногорск, Кирова, 9, Красноярск, 662970;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-1994330.html
no ogrn;no emails;+7 (391) 227-56-85;№ 13 ПОЛИКЛИНИКА МЕДОСМОТРА;Ленина улица, 43, Красноярск, 660049;no saits;https://www.orgpage.ru/krasnoyarsk/13-poliklinika-medosmotra-464057.html
no ogrn;no emails;+7 (391) 234-36-21;№ 1 ПОЛИКЛИНИКА БАССЕЙНОВАЯ;Затонская улица, 7, Красноярск, 660025;no saits;https://www.orgpage.ru/krasnoyarsk/1-poliklinika-basseynovaya-464058.html
no ogrn;no emails;+7 (391) 234-86-30;№ 1 ПОЛИКЛИНИКА ЛЕНИНСКОГО Р-НА;им газеты Красноярский Рабочий пр-кт, 80-А, Красноярск, 660068;no saits;https://www.orgpage.ru/krasnoyarsk/1-poliklinika-leninskogo-r-na-464059.html
no ogrn;no emails;+7 (391) 233-36-49;№ 1 ПОЛИКЛИНИКА МЕДСАНЧАСТИ № 3;26 Бакинских Комиссаров улица, 46, Красноярск, 660004;no saits;https://www.orgpage.ru/krasnoyarsk/1-poliklinika-medsanchasti-3-464060.html
no ogrn;no emails;+7 (391) 236-15-73;№ 1 ПОЛИКЛИНИКА СВЕРДЛОВСКОГО Р-НА;Семафорная улица, 255, Красноярск, 660093;no saits;https://www.orgpage.ru/krasnoyarsk/1-poliklinika-sverdlovskogo-r-na-464061.html
no ogrn;no emails;+7 (391) 227-89-50;№ 2 ПОЛИКЛИНИКА БАССЕЙНОВАЯ;Парижской Коммуны улица, 2, Красноярск, 660049;no saits;https://www.orgpage.ru/krasnoyarsk/2-poliklinika-basseynovaya-464062.html
no ogrn;no emails;+7 (391) 221-47-41;№ 7 ПОЛИКЛИНИКА ЖЕЛЕЗНОДОРОЖНОГО Р-НА;Камская улица, 1, Красноярск, 660048;no saits;https://www.orgpage.ru/krasnoyarsk/7-poliklinika-zheleznodorozhnogo-464063.html
no ogrn;no emails;+7 (391) 227-75-79;№ 11 ПОЛИКЛИНИКА;Никитина улица, 12, Красноярск, 660022;no saits;https://www.orgpage.ru/krasnoyarsk/11-poliklinika-464064.html
no ogrn;no emails;+7 (391) 225-28-25;ПОЛИКЛИНИКА ОТ ГОРБОЛЬНИЦЫ № 2;Академика Киренского улица, 21, Красноярск, 660074;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-ot-gorbolynitsy-2-464065.html
no ogrn;no emails;+7 (391) 233-05-19;№ 1 ДЕТСКАЯ ПОЛИКЛИНИКА ЛЕНИНСКОГО Р-НА;Коломенская улица, 23, Красноярск, 660037;no saits;https://www.orgpage.ru/krasnoyarsk/1-detskaya-poliklinika-464066.html
no ogrn;no emails;+7 (391) 224-05-92;№ 1 ДЕТСКАЯ ПОЛИКЛИНИКА СОВЕТСКОГО Р-НА;Устиновича улица, 1-А, Красноярск, 660111;no saits;https://www.orgpage.ru/krasnoyarsk/1-detskaya-poliklinika-464067.html
no ogrn;no emails;+7 (391) 221-47-74;№ 2 ДЕТСКАЯ ПОЛИКЛИНИКА ГОРБОЛЬНИЦЫ № 3 ОКТЯБРЬСКОГО Р-НА;Советская улица, 41, Красноярск, 660001;no saits;https://www.orgpage.ru/krasnoyarsk/2-detskaya-poliklinika-464068.html
no ogrn;no emails;+7 (391) 224-37-06;№ 2 ДЕТСКАЯ ПОЛИКЛИНИКА СОВЕТСКОГО Р-НА;Металлургов проспект, 41-А, Красноярск, 660073;no saits;https://www.orgpage.ru/krasnoyarsk/2-detskaya-poliklinika-464069.html
no ogrn;no emails;+7 (391) 234-52-17;№ 6 ДЕТСКАЯ ПОЛИКЛИНИКА КИРОВСКОГО Р-НА;Западная улица, 3-А, Красноярск, 660059;no saits;https://www.orgpage.ru/krasnoyarsk/6-detskaya-poliklinika-464070.html
no ogrn;no emails;no phone;ДЕТСКАЯ ПОЛИКЛИНИКА № 1 ГОРБОЛЬНИЦЫ № 3 ЖЕЛЕЗНОДОРОЖНОГО РАЙОНА;Яковлева улица, 27, Красноярск, 660018;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-1-464071.html
no ogrn;no emails;+7 (391) 234-03-58;Детская поликлиника №3;Урванцева, 30а, Красноярск;no saits;https://www.orgpage.ru/krasnoyarsk/detskaya-poliklinika-3-1994134.html
no ogrn;no emails;+7 (391) 200-80-04;Поликлиника №2, Красноярская краевая больница №2;Аэровокзальная, 9г, Красноярск, 660022;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-2-krasnoyarskaya-1994144.html
no ogrn;no emails;+7 (391) 221-13-78;Городская поликлиника №7, Филиал №1;Ленина, 155, Красноярск, 660021;no saits;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-7-filial-2029202.html
no ogrn;no emails;+7 (391) 264-06-41;Городская поликлиника №12, Филиал №1;Газеты Красноярский Рабочий проспект, 50, Красноярск, 660123;no saits;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-12-filial-2029183.html
no ogrn;no emails;+7 (391) 221-05-22;Городская поликлиника №7, Филиал №2;Северо-Енисейская, 46, Красноярск, 660075;no saits;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-7-filial-2029190.html
no ogrn;no emails;+7 (391) 234-03-04;Поликлиника №4, Красноярская межрайонная поликлиника №5;Ленина, 43, Красноярск, 660049;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-4-krasnoyarskaya-2029103.html
no ogrn;no emails;+7 (391) 206-21-38;Студенческая поликлиника, Городская поликлиника №2;Свободный проспект, 83, Красноярск, 660074;no saits;https://www.orgpage.ru/krasnoyarsk/studencheskaya-poliklinika-2029120.html
no ogrn;no emails;+7 (391) 227-39-77;Поликлиника №3, Красноярская межрайонная поликлиника №5;Степана Разина, 35а, Красноярск, 660043;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-3-krasnoyarskaya-2029125.html
no ogrn;no emails;+7 (39131) 22384;Городская поликлиника г. Сосновоборска;Сосновоборск, Солнечная, 6/2, Красноярск, 662500;no saits;https://www.orgpage.ru/krasnoyarsk/gorodskaya-poliklinika-g-2029146.html
no ogrn;no emails;+7 (3919) 372875;Городская поликлиника №2;Маслова, 11, Норильск, 663330;no saits;https://www.orgpage.ru/norilsk/gorodskaya-poliklinika-2-2370061.html
no ogrn;no emails;+7 (3919) 411175;Поликлиника №1, Городская поликлиника №1;Югославская, 38, Норильск, 663321;no saits;https://www.orgpage.ru/norilsk/poliklinika-1-gorodskaya-2370067.html
no ogrn;no emails;+7 (39132) 20998;Центр здоровья и медицинской профилактики;Шумилова, 4, Минусинск, 662606;no saits;https://www.orgpage.ru/minusinsk/tsentr-zdorovya-i-meditsinskoy-6021908.html
no ogrn;no emails;+7 (39111) 21275;ПОЛИКЛИНИКА ТАЙМЫРСКАЯ ОКРУЖНАЯ;Торфянников улица, 14Г, Дудинка;no saits;https://www.orgpage.ru/dudinka/poliklinika-taymyrskaya-460610.html
no ogrn;no emails;+7 (3919) 722711;Поликлиника №2, Клиническая больница №51, г. Железногорск;Железногорск, Кирова, 13, Красноярск;no saits;https://www.orgpage.ru/krasnoyarsk/poliklinika-2-klinicheskaya-1994462.html
